T(sec)	WE1 Volts(mV)	WE1 Idir(mA)	WE1 Idif (mA)	
0.0200	674.025	0.012133	
0.0400	673.972	0.012110	
0.0600	673.855	0.012072	
0.0800	673.677	0.012018	
0.1000	673.432	0.011949	
0.1200	673.128	0.011866	
0.1400	672.760	0.011768	
0.1600	672.334	0.011660	
0.1800	671.843	0.011538	
0.2000	671.289	0.011403	
0.2200	670.673	0.011258	
0.2400	669.995	0.011103	
0.2600	669.253	0.010939	
0.2800	668.451	0.010764	
0.3000	667.587	0.010578	
0.3200	666.663	0.010383	
0.3400	665.672	0.010177	
0.3600	664.673	0.009984	
0.3800	663.675	0.009797	
0.4000	662.678	0.009615	
0.4200	661.687	0.009438	
0.4400	660.695	0.009268	
0.4600	659.701	0.009105	
0.4800	658.706	0.008945	
0.5000	657.709	0.008787	
0.5200	656.713	0.008637	
0.5400	655.716	0.008486	
0.5600	654.721	0.008340	
0.5800	653.726	0.008193	
0.6000	652.726	0.008050	
0.6200	651.726	0.007908	
0.6400	650.729	0.007771	
0.6600	649.733	0.007637	
0.6800	648.737	0.007504	
0.7000	647.744	0.007375	
0.7200	646.749	0.007251	
0.7400	645.751	0.007129	
0.7600	644.750	0.007010	
0.7800	643.749	0.006889	
0.8000	642.750	0.006770	
0.8200	641.749	0.006655	
0.8400	640.753	0.006540	
0.8600	639.753	0.006426	
0.8800	638.753	0.006315	
0.9000	637.754	0.006209	
0.9200	636.763	0.006101	
0.9400	635.770	0.006002	
0.9600	634.777	0.005902	
0.9800	633.783	0.005803	
1.0000	632.787	0.005706	
1.0200	631.789	0.005608	
1.0400	630.790	0.005512	
1.0600	629.793	0.005415	
1.0800	628.797	0.005318	
1.1000	627.806	0.005228	
1.1200	626.811	0.005139	
1.1400	625.816	0.005052	
1.1600	624.822	0.004970	
1.1800	623.831	0.004888	
1.2000	622.837	0.004802	
1.2200	621.845	0.004720	
1.2400	620.846	0.004641	
1.2600	619.846	0.004559	
1.2800	618.845	0.004476	
1.3000	617.843	0.004393	
1.3200	616.842	0.004314	
1.3400	615.843	0.004238	
1.3600	614.847	0.004163	
1.3800	613.850	0.004093	
1.4000	612.850	0.004022	
1.4200	611.851	0.003949	
1.4400	610.855	0.003876	
1.4600	609.862	0.003806	
1.4800	608.864	0.003733	
1.5000	607.863	0.003662	
1.5200	606.866	0.003593	
1.5400	605.866	0.003522	
1.5600	604.867	0.003455	
1.5800	603.870	0.003389	
1.6000	602.876	0.003325	
1.6200	601.878	0.003267	
1.6400	600.883	0.003205	
1.6600	599.885	0.003142	
1.6800	598.885	0.003081	
1.7000	597.885	0.003019	
1.7200	596.888	0.002955	
1.7400	595.888	0.002897	
1.7600	594.883	0.002840	
1.7800	593.878	0.002784	
1.8000	592.877	0.002729	
1.8200	591.878	0.002675	
1.8400	590.880	0.002623	
1.8600	589.881	0.002573	
1.8800	588.882	0.002519	
1.9000	587.882	0.002467	
1.9200	586.878	0.002414	
1.9400	585.880	0.002359	
1.9600	584.880	0.002305	
1.9800	583.885	0.002258	
2.0000	582.886	0.002208	
2.0200	581.887	0.002160	
2.0400	580.887	0.002114	
2.0600	579.891	0.002068	
2.0800	578.898	0.002022	
2.1000	577.904	0.001974	
2.1200	576.907	0.001925	
2.1400	575.910	0.001877	
2.1600	574.911	0.001830	
2.1800	573.912	0.001784	
2.2000	572.915	0.001740	
2.2200	571.922	0.001697	
2.2400	570.926	0.001657	
2.2600	569.930	0.001617	
2.2800	568.935	0.001577	
2.3000	567.934	0.001535	
2.3200	566.936	0.001496	
2.3400	565.941	0.001456	
2.3600	564.945	0.001416	
2.3800	563.947	0.001374	
2.4000	562.950	0.001335	
2.4200	561.953	0.001295	
2.4400	560.959	0.001262	
2.4600	559.964	0.001228	
2.4800	558.972	0.001195	
2.5000	557.980	0.001160	
2.5200	556.987	0.001126	
2.5400	555.990	0.001090	
2.5600	554.994	0.001048	
2.5800	553.997	0.001012	
2.6000	552.998	0.000975	
2.6200	552.003	0.000939	
2.6400	551.005	0.000903	
2.6600	550.007	0.000867	
2.6800	549.011	0.000834	
2.7000	548.014	0.000803	
2.7200	547.016	0.000772	
2.7400	546.016	0.000739	
2.7600	545.016	0.000705	
2.7800	544.014	0.000672	
2.8000	543.009	0.000636	
2.8200	542.009	0.000603	
2.8400	541.008	0.000571	
2.8600	540.007	0.000539	
2.8800	539.013	0.000512	
2.9000	538.015	0.000482	
2.9200	537.017	0.000456	
2.9400	536.020	0.000427	
2.9600	535.025	0.000397	
2.9800	534.032	0.000372	
3.0000	533.035	0.000342	
3.0200	532.040	0.000310	
3.0400	531.046	0.000278	
3.0600	530.053	0.000250	
3.0800	529.055	0.000222	
3.1000	528.062	0.000196	
3.1200	527.070	0.000176	
3.1400	526.072	0.000150	
3.1600	525.077	0.000125	
3.1800	524.082	0.000101	
3.2000	523.081	0.000074	
3.2200	522.086	0.000047	
3.2400	521.094	0.000020	
3.2600	520.102	-0.000004	
3.2800	519.109	-0.000028	
3.3000	518.109	-0.000051	
3.3200	517.110	-0.000076	
3.3400	516.114	-0.000098	
3.3600	515.113	-0.000117	
3.3800	514.117	-0.000140	
3.4000	513.122	-0.000164	
3.4200	512.123	-0.000191	
3.4400	511.126	-0.000221	
3.4600	510.133	-0.000248	
3.4800	509.135	-0.000271	
3.5000	508.140	-0.000294	
3.5200	507.147	-0.000315	
3.5400	506.151	-0.000336	
3.5600	505.152	-0.000359	
3.5800	504.151	-0.000380	
3.6000	503.148	-0.000403	
3.6200	502.151	-0.000428	
3.6400	501.153	-0.000450	
3.6600	500.155	-0.000472	
3.6800	499.155	-0.000495	
3.7000	498.153	-0.000516	
3.7200	497.154	-0.000535	
3.7400	496.158	-0.000553	
3.7600	495.159	-0.000569	
3.7800	494.161	-0.000585	
3.8000	493.163	-0.000606	
3.8200	492.161	-0.000629	
3.8400	491.158	-0.000651	
3.8600	490.158	-0.000668	
3.8800	489.155	-0.000687	
3.9000	488.154	-0.000707	
3.9200	487.156	-0.000720	
3.9400	486.156	-0.000735	
3.9600	485.158	-0.000749	
3.9800	484.157	-0.000765	
4.0000	483.161	-0.000781	
4.0200	482.165	-0.000800	
4.0400	481.170	-0.000822	
4.0600	480.171	-0.000843	
4.0800	479.174	-0.000864	
4.1000	478.175	-0.000885	
4.1200	477.178	-0.000902	
4.1400	476.181	-0.000919	
4.1600	475.184	-0.000935	
4.1800	474.183	-0.000954	
4.2000	473.187	-0.000969	
4.2200	472.191	-0.000986	
4.2400	471.196	-0.001008	
4.2600	470.200	-0.001028	
4.2800	469.207	-0.001050	
4.3000	468.213	-0.001070	
4.3200	467.216	-0.001091	
4.3400	466.215	-0.001111	
4.3600	465.215	-0.001126	
4.3800	464.218	-0.001141	
4.4000	463.220	-0.001156	
4.4200	462.225	-0.001168	
4.4400	461.228	-0.001181	
4.4600	460.232	-0.001197	
4.4800	459.237	-0.001213	
4.5000	458.246	-0.001231	
4.5200	457.252	-0.001251	
4.5400	456.259	-0.001269	
4.5600	455.266	-0.001284	
4.5800	454.270	-0.001298	
4.6000	453.270	-0.001312	
4.6200	452.270	-0.001324	
4.6400	451.275	-0.001337	
4.6600	450.278	-0.001350	
4.6800	449.281	-0.001368	
4.7000	448.280	-0.001386	
4.7200	447.278	-0.001403	
4.7400	446.276	-0.001424	
4.7600	445.278	-0.001442	
4.7800	444.279	-0.001457	
4.8000	443.282	-0.001473	
4.8200	442.281	-0.001485	
4.8400	441.285	-0.001495	
4.8600	440.284	-0.001509	
4.8800	439.283	-0.001525	
4.9000	438.286	-0.001545	
4.9200	437.291	-0.001559	
4.9400	436.293	-0.001577	
4.9600	435.294	-0.001596	
4.9800	434.298	-0.001610	
5.0000	433.302	-0.001624	
5.0200	432.308	-0.001635	
5.0400	431.316	-0.001649	
5.0600	430.325	-0.001661	
5.0800	429.331	-0.001675	
5.1000	428.336	-0.001692	
5.1200	427.339	-0.001708	
5.1400	426.344	-0.001729	
5.1600	425.345	-0.001747	
5.1800	424.350	-0.001763	
5.2000	423.353	-0.001781	
5.2200	422.354	-0.001794	
5.2400	421.357	-0.001814	
5.2600	420.363	-0.001826	
5.2800	419.370	-0.001841	
5.3000	418.378	-0.001855	
5.3200	417.384	-0.001867	
5.3400	416.393	-0.001885	
5.3600	415.398	-0.001902	
5.3800	414.397	-0.001920	
5.4000	413.402	-0.001938	
5.4200	412.406	-0.001952	
5.4400	411.409	-0.001965	
5.4600	410.415	-0.001977	
5.4800	409.421	-0.001990	
5.5000	408.427	-0.002001	
5.5200	407.430	-0.002014	
5.5400	406.437	-0.002029	
5.5600	405.444	-0.002039	
5.5800	404.451	-0.002055	
5.6000	403.457	-0.002069	
5.6200	402.459	-0.002089	
5.6400	401.459	-0.002107	
5.6600	400.462	-0.002120	
5.6800	399.464	-0.002134	
5.7000	398.472	-0.002144	
5.7200	397.472	-0.002157	
5.7400	396.475	-0.002171	
5.7600	395.476	-0.002188	
5.7800	394.477	-0.002203	
5.8000	393.476	-0.002217	
5.8200	392.477	-0.002233	
5.8400	391.481	-0.002251	
5.8600	390.482	-0.002265	
5.8800	389.479	-0.002284	
5.9000	388.475	-0.002297	
5.9200	387.473	-0.002308	
5.9400	386.474	-0.002320	
5.9600	385.477	-0.002330	
5.9800	384.476	-0.002347	
6.0000	383.478	-0.002360	
6.0200	382.476	-0.002378	
6.0400	381.478	-0.002392	
6.0600	380.482	-0.002409	
6.0800	379.492	-0.002421	
6.1000	378.497	-0.002435	
6.1200	377.499	-0.002450	
6.1400	376.500	-0.002466	
6.1600	375.503	-0.002477	
6.1800	374.507	-0.002492	
6.2000	373.512	-0.002506	
6.2200	372.516	-0.002522	
6.2400	371.518	-0.002540	
6.2600	370.516	-0.002554	
6.2800	369.517	-0.002571	
6.3000	368.520	-0.002585	
6.3200	367.525	-0.002599	
6.3400	366.531	-0.002613	
6.3600	365.534	-0.002629	
6.3800	364.535	-0.002642	
6.4000	363.530	-0.002658	
6.4200	362.529	-0.002672	
6.4400	361.533	-0.002688	
6.4600	360.533	-0.002704	
6.4800	359.534	-0.002723	
6.5000	358.536	-0.002738	
6.5200	357.541	-0.002753	
6.5400	356.544	-0.002767	
6.5600	355.552	-0.002780	
6.5800	354.565	-0.002791	
6.6000	353.573	-0.002806	
6.6200	352.580	-0.002818	
6.6400	351.580	-0.002833	
6.6600	350.580	-0.002848	
6.6800	349.581	-0.002860	
6.7000	348.580	-0.002875	
6.7200	347.586	-0.002890	
6.7400	346.586	-0.002904	
6.7600	345.588	-0.002917	
6.7800	344.591	-0.002931	
6.8000	343.594	-0.002939	
6.8200	342.591	-0.002950	
6.8400	341.592	-0.002961	
6.8600	340.593	-0.002974	
6.8800	339.590	-0.002987	
6.9000	338.587	-0.003005	
6.9200	337.581	-0.003019	
6.9400	336.573	-0.003033	
6.9600	335.572	-0.003048	
6.9800	334.574	-0.003059	
7.0000	333.576	-0.003074	
7.0200	332.580	-0.003086	
7.0400	331.583	-0.003100	
7.0600	330.589	-0.003115	
7.0800	329.594	-0.003128	
7.1000	328.599	-0.003142	
7.1200	327.603	-0.003157	
7.1400	326.608	-0.003176	
7.1600	325.611	-0.003193	
7.1800	324.616	-0.003207	
7.2000	323.622	-0.003221	
7.2200	322.625	-0.003235	
7.2400	321.634	-0.003249	
7.2600	320.644	-0.003265	
7.2800	319.649	-0.003278	
7.3000	318.653	-0.003296	
7.3200	317.657	-0.003309	
7.3400	316.660	-0.003327	
7.3600	315.664	-0.003343	
7.3800	314.665	-0.003357	
7.4000	313.670	-0.003371	
7.4200	312.670	-0.003383	
7.4400	311.675	-0.003398	
7.4600	310.680	-0.003407	
7.4800	309.684	-0.003419	
7.5000	308.688	-0.003435	
7.5200	307.691	-0.003450	
7.5400	306.694	-0.003463	
7.5600	305.698	-0.003478	
7.5800	304.701	-0.003491	
7.6000	303.707	-0.003507	
7.6200	302.707	-0.003521	
7.6400	301.711	-0.003533	
7.6600	300.713	-0.003545	
7.6800	299.712	-0.003559	
7.7000	298.715	-0.003574	
7.7200	297.715	-0.003588	
7.7400	296.718	-0.003605	
7.7600	295.717	-0.003621	
7.7800	294.718	-0.003640	
7.8000	293.717	-0.003660	
7.8200	292.716	-0.003676	
7.8400	291.718	-0.003689	
7.8600	290.723	-0.003703	
7.8800	289.722	-0.003718	
7.9000	288.720	-0.003736	
7.9200	287.719	-0.003750	
7.9400	286.722	-0.003765	
7.9600	285.721	-0.003784	
7.9800	284.721	-0.003801	
8.0000	283.725	-0.003818	
8.0200	282.728	-0.003834	
8.0400	281.729	-0.003850	
8.0600	280.728	-0.003865	
8.0800	279.731	-0.003877	
8.1000	278.735	-0.003888	
8.1200	277.742	-0.003898	
8.1400	276.748	-0.003911	
8.1600	275.751	-0.003927	
8.1800	274.750	-0.003943	
8.2000	273.753	-0.003960	
8.2200	272.757	-0.003972	
8.2400	271.758	-0.003989	
8.2600	270.763	-0.004004	
8.2800	269.768	-0.004018	
8.3000	268.772	-0.004027	
8.3200	267.773	-0.004040	
8.3400	266.776	-0.004055	
8.3600	265.778	-0.004070	
8.3800	264.788	-0.004084	
8.4000	263.791	-0.004099	
8.4200	262.791	-0.004117	
8.4400	261.791	-0.004135	
8.4600	260.792	-0.004152	
8.4800	259.789	-0.004167	
8.5000	258.792	-0.004182	
8.5200	257.794	-0.004193	
8.5400	256.798	-0.004210	
8.5600	255.803	-0.004219	
8.5800	254.807	-0.004233	
8.6000	253.812	-0.004246	
8.6200	252.818	-0.004264	
8.6400	251.825	-0.004278	
8.6600	250.830	-0.004292	
8.6800	249.836	-0.004307	
8.7000	248.834	-0.004322	
8.7200	247.836	-0.004337	
8.7400	246.839	-0.004350	
8.7600	245.839	-0.004361	
8.7800	244.842	-0.004374	
8.8000	243.846	-0.004389	
8.8200	242.849	-0.004403	
8.8400	241.851	-0.004418	
8.8600	240.851	-0.004435	
8.8800	239.854	-0.004455	
8.9000	238.854	-0.004472	
8.9200	237.853	-0.004491	
8.9400	236.852	-0.004504	
8.9600	235.853	-0.004519	
8.9800	234.854	-0.004531	
9.0000	233.856	-0.004545	
9.0200	232.863	-0.004561	
9.0400	231.865	-0.004576	
9.0600	230.866	-0.004593	
9.0800	229.868	-0.004611	
9.1000	228.871	-0.004630	
9.1200	227.876	-0.004647	
9.1400	226.884	-0.004661	
9.1600	225.893	-0.004675	
9.1800	224.899	-0.004689	
9.2000	223.903	-0.004699	
9.2200	222.908	-0.004714	
9.2400	221.915	-0.004726	
9.2600	220.922	-0.004743	
9.2800	219.924	-0.004760	
9.3000	218.927	-0.004781	
9.3200	217.929	-0.004802	
9.3400	216.928	-0.004819	
9.3600	215.935	-0.004838	
9.3800	214.943	-0.004851	
9.4000	213.951	-0.004862	
9.4200	212.959	-0.004876	
9.4400	211.964	-0.004887	
9.4600	210.966	-0.004904	
9.4800	209.967	-0.004922	
9.5000	208.967	-0.004937	
9.5200	207.969	-0.004957	
9.5400	206.977	-0.004975	
9.5600	205.982	-0.004991	
9.5800	204.983	-0.005007	
9.6000	203.986	-0.005020	
9.6200	202.993	-0.005032	
9.6400	202.001	-0.005040	
9.6600	201.009	-0.005053	
9.6800	200.014	-0.005067	
9.7000	199.018	-0.005085	
9.7200	198.018	-0.005104	
9.7400	197.019	-0.005123	
9.7600	196.021	-0.005142	
9.7800	195.025	-0.005161	
9.8000	194.026	-0.005176	
9.8200	193.032	-0.005193	
9.8400	192.036	-0.005205	
9.8600	191.036	-0.005217	
9.8800	190.037	-0.005235	
9.9000	189.041	-0.005248	
9.9200	188.046	-0.005268	
9.9400	187.044	-0.005286	
9.9600	186.040	-0.005307	
9.9800	185.038	-0.005323	
10.0000	184.040	-0.005339	
10.0200	183.038	-0.005356	
10.0400	182.041	-0.005369	
10.0600	181.039	-0.005380	
10.0800	180.044	-0.005395	
10.1000	179.041	-0.005406	
10.1200	178.043	-0.005423	
10.1400	177.045	-0.005439	
10.1600	176.047	-0.005459	
10.1800	175.051	-0.005475	
